,id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state
6,ba63ad9eaf3dc6369f8187e7251c0870,perfumaria,38.0,1813.0,3.0,5850.0,27.0,20.0,35.0,090d23542dd542b9a9e25fa9d5d9e528,1,ba63ad9eaf3dc6369f8187e7251c0870,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-11 14:52:02,349.97,59.0,3694,sao paulo,SP
7,ba63ad9eaf3dc6369f8187e7251c0870,perfumaria,38.0,1813.0,3.0,5850.0,27.0,20.0,35.0,25b0aadbfdbdc6fcc91820762f6aaf35,1,ba63ad9eaf3dc6369f8187e7251c0870,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-20 22:50:22,349.97,37.8,3694,sao paulo,SP
10,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,154f3e62bb635300cf9a1d6c4940636d,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-11 00:52:25,349.97,16.54,3694,sao paulo,SP
11,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,2ab10ab526351fd3b05219e9eb4f7d9f,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-17 22:31:19,349.97,16.76,3694,sao paulo,SP
12,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,a29c6282a6e4ec30881051cfaa99029c,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-22 17:31:11,349.97,25.25,3694,sao paulo,SP
13,d6c69817b519edddbf1b289631b7160e,perfumaria,38.0,1813.0,3.0,4800.0,27.0,20.0,35.0,dd8685cc92ade5d98e60812dfaffb087,1,d6c69817b519edddbf1b289631b7160e,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-12 15:50:13,349.97,50.06,3694,sao paulo,SP
14,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,4c3a834add3595c42eaefa65d28d6fbe,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-16 22:15:13,682.98,45.76,3694,sao paulo,SP
15,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,5bebe0296b65287e94b489cd279782cc,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-21 11:50:59,682.98,20.08,3694,sao paulo,SP
16,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,c2d986bdce3f3823bbd8b8b4e37f5727,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-07-26 09:32:06,682.98,69.23,3694,sao paulo,SP
17,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,e2e6ee1ed2d7f2f36b05d234983bd7a0,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-08-01 09:50:20,682.98,69.23,3694,sao paulo,SP
18,ac8af924237ed4591dc8d9b8c6a935f0,perfumaria,41.0,2282.0,4.0,6100.0,30.0,40.0,30.0,ea9c1cc0e0584ca0228d483668d95799,1,ac8af924237ed4591dc8d9b8c6a935f0,5670f4db5b62c43d542e1b2d56b0cf7c,2018-05-24 17:55:25,682.98,27.36,3694,sao paulo,SP
21,26c48bbde38fc8ca6a01eff68015e35d,perfumaria,39.0,1813.0,3.0,3000.0,27.0,20.0,35.0,45714388825b2025b19af04c84924cdd,1,26c48bbde38fc8ca6a01eff68015e35d,5670f4db5b62c43d542e1b2d56b0cf7c,2018-06-12 09:30:19,349.97,25.03,3694,sao paulo,SP
12281,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,24b1c4d88fdb7a2dc87f8ecc7d8f47f1,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-03 09:50:14,339.0,17.13,13030,campinas,SP
12282,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,8e8fcb8fffd60bb3f6fbd647c6149286,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-28 14:26:28,339.0,18.11,13030,campinas,SP
12283,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,99b5479599753883c7355ca6cb95b2c1,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-11 11:23:28,339.0,20.91,13030,campinas,SP
12284,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,99b5479599753883c7355ca6cb95b2c1,2,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-11 11:23:28,339.0,20.91,13030,campinas,SP
12285,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,9eecf4b8716283fcb0f026e1308cc805,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-07-12 03:15:08,339.0,20.91,13030,campinas,SP
12286,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,a7236413cd736310eb6cba19e4f4c3d8,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-06-05 14:55:18,339.0,17.12,13030,campinas,SP
12287,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,b034b38968b7bc21648e36e05d2eb09f,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-08-31 16:25:17,339.0,11.19,13030,campinas,SP
12288,0d009643171aee696f4733340bc2fdd0,perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,b92ef17170294d7b2fc093e20bd305c9,1,0d009643171aee696f4733340bc2fdd0,fe2032dab1a61af8794248c8196565c9,2017-06-05 13:55:10,339.0,17.12,13030,campinas,SP
12292,c20fbbd4ccf2f7da70e150689a6a905f,perfumaria,47.0,723.0,1.0,455.0,21.0,15.0,17.0,519ce376ccc4703b7e1335fb7df67694,1,c20fbbd4ccf2f7da70e150689a6a905f,fe2032dab1a61af8794248c8196565c9,2018-01-02 18:28:03,308.0,15.91,13030,campinas,SP
12293,b91b152754992edb9a83710c87a9427e,perfumaria,55.0,700.0,1.0,500.0,23.0,8.0,15.0,21b6a31c126b44d94eed3a4ee2e739c6,1,b91b152754992edb9a83710c87a9427e,fe2032dab1a61af8794248c8196565c9,2018-03-22 20:50:49,475.0,11.09,13030,campinas,SP
12294,b91b152754992edb9a83710c87a9427e,perfumaria,55.0,700.0,1.0,500.0,23.0,8.0,15.0,47073fb1adb2b41ef8bba8c77d8ed86f,1,b91b152754992edb9a83710c87a9427e,fe2032dab1a61af8794248c8196565c9,2018-05-16 23:17:42,519.0,16.07,13030,campinas,SP
12295,3b31b57a9cdf87158977c3188a8dfa5a,perfumaria,50.0,509.0,1.0,543.0,24.0,13.0,18.0,b6ec449b625527c7375b5d1801d19818,1,3b31b57a9cdf87158977c3188a8dfa5a,fe2032dab1a61af8794248c8196565c9,2018-04-09 21:49:38,329.9,21.28,13030,campinas,SP
12309,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,48a043c45028f3caaabe84abb2316c51,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2017-11-30 01:31:30,419.0,12.15,13030,campinas,SP
12310,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,50eeaae0716800e6a5e870e9a05edd41,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2017-11-30 10:38:31,419.0,20.5,13030,campinas,SP
12311,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,511854b706288fb7c853f22f68f1ab37,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2018-02-01 06:31:26,419.9,11.75,13030,campinas,SP
12312,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,a2c59c47f95c0845b1c8a7f994d91975,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2017-12-18 21:11:34,439.0,17.83,13030,campinas,SP
12313,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,c0ac0672fbc1b9f9424dc334437a3564,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2017-11-17 08:30:24,419.0,21.47,13030,campinas,SP
12314,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,cf5a5b72cc9714b2afbbb79d472baaf1,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2017-12-01 11:35:37,419.0,17.69,13030,campinas,SP
12315,1782400950423c9b12600278b8ef65d3,perfumaria,58.0,553.0,1.0,567.0,23.0,15.0,16.0,f3a5594ec1dbbdb286b45516754c5655,1,1782400950423c9b12600278b8ef65d3,fe2032dab1a61af8794248c8196565c9,2018-02-13 15:30:34,419.9,11.75,13030,campinas,SP
12349,040fe1cdb263eb2c9b1322875b0afcb7,perfumaria,36.0,561.0,1.0,2303.0,26.0,15.0,23.0,53016e8472a79f05b793c071c03ae18e,1,040fe1cdb263eb2c9b1322875b0afcb7,fe2032dab1a61af8794248c8196565c9,2018-05-25 12:14:56,416.5,11.27,13030,campinas,SP
12350,040fe1cdb263eb2c9b1322875b0afcb7,perfumaria,36.0,561.0,1.0,2303.0,26.0,15.0,23.0,897846300466b8aa40902abef9250b14,1,040fe1cdb263eb2c9b1322875b0afcb7,fe2032dab1a61af8794248c8196565c9,2018-06-21 13:16:39,416.5,11.08,13030,campinas,SP
12351,040fe1cdb263eb2c9b1322875b0afcb7,perfumaria,36.0,561.0,1.0,2303.0,26.0,15.0,23.0,9fb81511dfc1d6959ed1052930efd8a6,1,040fe1cdb263eb2c9b1322875b0afcb7,fe2032dab1a61af8794248c8196565c9,2018-07-23 11:30:21,489.9,21.53,13030,campinas,SP
12357,e5fe79a5ccd19d20b3b095bf73cf9b5d,perfumaria,37.0,742.0,1.0,258.0,23.0,15.0,18.0,60d9a5e952b00c9a481aa0e3d641b354,1,e5fe79a5ccd19d20b3b095bf73cf9b5d,fe2032dab1a61af8794248c8196565c9,2017-10-09 21:43:46,359.0,10.71,13030,campinas,SP
12358,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,102f840f0c7fb82a5e0568624b41b3e5,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-06-13 10:58:58,319.0,18.2,13030,campinas,SP
12359,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,2143f0dfdbb1c47ab7c75c9c097e0173,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-06-07 14:30:40,319.0,10.97,13030,campinas,SP
12360,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,498c950b1765883c2a104b8dd227ea90,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-06-18 13:17:54,319.0,11.36,13030,campinas,SP
12361,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,69e1614e5770f92d02af5b0f875c11b4,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-06-15 15:05:54,319.0,40.5,13030,campinas,SP
12362,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,711bc4b2d17a37baad63799a2ce92de1,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-06-26 03:17:52,319.0,18.42,13030,campinas,SP
12363,bacf2de8920bbcaf6f005a30d81391d2,perfumaria,54.0,389.0,1.0,481.0,21.0,14.0,19.0,e18b75b8b2ba4ce613d10b2fd820aef9,1,bacf2de8920bbcaf6f005a30d81391d2,fe2032dab1a61af8794248c8196565c9,2018-08-02 13:05:14,319.0,17.33,13030,campinas,SP
12367,e1608f467393da59b31f1b40b536548d,perfumaria,60.0,236.0,1.0,478.0,19.0,16.0,19.0,8e8fcb8fffd60bb3f6fbd647c6149286,2,e1608f467393da59b31f1b40b536548d,fe2032dab1a61af8794248c8196565c9,2017-08-28 14:26:28,339.9,18.16,13030,campinas,SP
12368,e1608f467393da59b31f1b40b536548d,perfumaria,60.0,236.0,1.0,478.0,19.0,16.0,19.0,ad66f64c10df4649e7b50b942f5f4bd8,1,e1608f467393da59b31f1b40b536548d,fe2032dab1a61af8794248c8196565c9,2017-07-21 18:55:17,339.9,10.94,13030,campinas,SP
12369,e1608f467393da59b31f1b40b536548d,perfumaria,60.0,236.0,1.0,478.0,19.0,16.0,19.0,c4fcb1aaed780b8c213652b55617ce14,1,e1608f467393da59b31f1b40b536548d,fe2032dab1a61af8794248c8196565c9,2017-09-12 00:03:31,339.9,18.14,13030,campinas,SP
12399,067c68a19be5d218b092cf260bfbd9cb,perfumaria,46.0,359.0,1.0,440.0,19.0,13.0,21.0,5a02cf91e6ef1031cf794d1cb430fecc,1,067c68a19be5d218b092cf260bfbd9cb,fe2032dab1a61af8794248c8196565c9,2018-04-12 09:30:23,339.0,10.14,13030,campinas,SP
12413,bbaa976a69c3a1594ebc1fc560f62978,perfumaria,46.0,489.0,1.0,728.0,23.0,15.0,16.0,ec1eeceac0fd882558b0f3976149e64d,1,bbaa976a69c3a1594ebc1fc560f62978,fe2032dab1a61af8794248c8196565c9,2018-04-05 10:48:01,399.0,54.92,13030,campinas,SP
12558,3cb86c99e14bcf5a24bea6305c171a75,perfumaria,43.0,832.0,2.0,463.0,20.0,12.0,18.0,6167cbcf55c4f79a6a86d57b3b7e7a2f,1,3cb86c99e14bcf5a24bea6305c171a75,fe2032dab1a61af8794248c8196565c9,2017-07-03 11:04:19,329.0,17.06,13030,campinas,SP
12608,fca5350a69eb4d8ae4f5884413ebd0e5,perfumaria,36.0,220.0,1.0,400.0,16.0,18.0,11.0,6182a6a2883cf658f3a1988d3b962361,1,fca5350a69eb4d8ae4f5884413ebd0e5,7178f9f4dd81dcef02f62acdf8151e01,2017-12-05 00:56:42,310.0,16.92,89560,videira,SC
12688,6c69e1be6be2ab7ad5a9e4fe8a763b7f,perfumaria,34.0,315.0,1.0,500.0,16.0,16.0,20.0,1c8166cad99e5856dfb7d622902c623c,1,6c69e1be6be2ab7ad5a9e4fe8a763b7f,7178f9f4dd81dcef02f62acdf8151e01,2017-12-06 10:32:37,339.0,17.12,89560,videira,SC
12689,6c69e1be6be2ab7ad5a9e4fe8a763b7f,perfumaria,34.0,315.0,1.0,500.0,16.0,16.0,20.0,2b73dbb992c0aa00a2f031c7222d8792,1,6c69e1be6be2ab7ad5a9e4fe8a763b7f,7178f9f4dd81dcef02f62acdf8151e01,2017-08-09 08:44:14,339.0,27.65,89560,videira,SC
12690,6c69e1be6be2ab7ad5a9e4fe8a763b7f,perfumaria,34.0,315.0,1.0,500.0,16.0,16.0,20.0,e7b3238f912e9efb45f970a33d3ac10c,1,6c69e1be6be2ab7ad5a9e4fe8a763b7f,7178f9f4dd81dcef02f62acdf8151e01,2017-12-04 11:29:23,339.0,14.62,89560,videira,SC
12691,6c69e1be6be2ab7ad5a9e4fe8a763b7f,perfumaria,34.0,315.0,1.0,500.0,16.0,16.0,20.0,f492581043b9d6d7074632e08a60c07d,1,6c69e1be6be2ab7ad5a9e4fe8a763b7f,7178f9f4dd81dcef02f62acdf8151e01,2017-08-25 01:25:07,339.0,27.65,89560,videira,SC
12692,6c69e1be6be2ab7ad5a9e4fe8a763b7f,perfumaria,34.0,315.0,1.0,500.0,16.0,16.0,20.0,f63bea61c8cd128d3e53d7c07d94a7ee,1,6c69e1be6be2ab7ad5a9e4fe8a763b7f,7178f9f4dd81dcef02f62acdf8151e01,2017-12-06 16:15:24,339.0,56.04,89560,videira,SC
12694,1c3a3b443f2cc220733fbd7b49841187,perfumaria,52.0,795.0,1.0,453.0,21.0,11.0,14.0,4934625cf407c998d90cf5a58075e0f1,1,1c3a3b443f2cc220733fbd7b49841187,7178f9f4dd81dcef02f62acdf8151e01,2018-02-20 14:54:58,324.0,17.02,89560,videira,SC
12695,1c3a3b443f2cc220733fbd7b49841187,perfumaria,52.0,795.0,1.0,453.0,21.0,11.0,14.0,d7bf53fc0c235f32fd61f11e6cc99a2a,1,1c3a3b443f2cc220733fbd7b49841187,7178f9f4dd81dcef02f62acdf8151e01,2018-01-30 12:34:05,324.0,14.52,89560,videira,SC
12710,fb0e979620b2fd991a12edd108fc83f3,perfumaria,28.0,268.0,1.0,550.0,16.0,16.0,11.0,5b244cf7290c20fb5ffbdefa2845cbf0,1,fb0e979620b2fd991a12edd108fc83f3,7178f9f4dd81dcef02f62acdf8151e01,2018-07-10 11:30:23,394.8,25.45,89560,videira,SC
12711,fb0e979620b2fd991a12edd108fc83f3,perfumaria,28.0,268.0,1.0,550.0,16.0,16.0,11.0,64a34bd8faf1ed47e5d3fa8627431a3a,1,fb0e979620b2fd991a12edd108fc83f3,7178f9f4dd81dcef02f62acdf8151e01,2017-12-20 16:53:24,310.0,44.2,89560,videira,SC
12713,fb0e979620b2fd991a12edd108fc83f3,perfumaria,28.0,268.0,1.0,550.0,16.0,16.0,11.0,7ed504f74d87e1d685166f9fcc73eeeb,1,fb0e979620b2fd991a12edd108fc83f3,7178f9f4dd81dcef02f62acdf8151e01,2017-12-28 13:29:50,310.0,18.61,89560,videira,SC
12714,fb0e979620b2fd991a12edd108fc83f3,perfumaria,28.0,268.0,1.0,550.0,16.0,16.0,11.0,8e065a60bb13d2bd598f70ea6a4e7f4c,1,fb0e979620b2fd991a12edd108fc83f3,7178f9f4dd81dcef02f62acdf8151e01,2018-02-09 00:52:16,329.0,17.05,89560,videira,SC
12760,287398c3a5da555d519e464b674c1955,perfumaria,60.0,561.0,1.0,550.0,16.0,16.0,11.0,2787a8bf248d663260b0d2bb270a951f,1,287398c3a5da555d519e464b674c1955,7178f9f4dd81dcef02f62acdf8151e01,2017-11-29 02:15:26,449.0,20.71,89560,videira,SC
12762,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,11dd41a0dbb00ead97fe3c687ce9857e,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2017-10-03 08:03:57,349.9,18.21,89560,videira,SC
12763,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,17421d31a07ce8e9c61fe6b1adecfdaf,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2017-08-01 08:35:18,340.0,17.13,89560,videira,SC
12764,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,19e225ef3a439fce99ce796eb1972cfb,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2017-12-12 19:13:24,349.9,18.21,89560,videira,SC
12765,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,229c6f4c4900cdfacac89de57227e7cf,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2018-01-30 16:59:48,349.9,18.21,89560,videira,SC
12766,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,3cfcc0ca272d41bdfa5d2ec747019f73,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2018-04-16 08:10:15,379.9,11.57,89560,videira,SC
12767,e4d325bd1eea550509bdbbc5c3301fc1,perfumaria,59.0,874.0,1.0,525.0,16.0,16.0,18.0,3fa7ae01a5f654e3cdd31aa461a42de3,1,e4d325bd1eea550509bdbbc5c3301fc1,7178f9f4dd81dcef02f62acdf8151e01,2018-03-13 02:10:11,349.9,17.0,89560,videira,SC
